Rank,Operator,Total TEU,Total Ships,Owned TEU,Owned Ships,Chartered TEU,Chartered Ships,% Chartered,Orderbook TEU,Orderbook Ships,% Existing
55,Turkon Line,"17,274",8,"7,512",4,"9,762",4,56.5%,"8,024",2,46.5%
56,Temas Line,"16,893",31,"16,893",31,,,,"3,200",8,18.9%
57,Safeen Feeders,"16,079",7,"10,700",5,"5,379",2,33.5%,,,
58,MTT Shipping,"15,378",16,"14,212",15,"1,166",1,7.6%,,,
59,Transworld Group Singapore,"15,300",12,"15,300",12,,,,,,
60,Peel Ports (BG Freight),"15,096",15,,,"15,096",15,100%,,,
61,Taicang Container Lines,"14,993",12,"4,369",4,"10,624",8,70.9%,"12,024",4,80.2%
62,Pan Ocean (Container),"13,738",11,"10,995",8,"2,743",3,20%,,,
63,Caribbean Feeder Services,"13,491",12,,,"13,491",12,100%,,,
64,Shipping Corp. of India,"13,434",2,"4,400",1,"9,034",1,67.2%,,,
65,Pasha Hawaii Transport Lines,"12,903",6,"12,903",6,,,,,,
66,Boluda Lines,"12,873",16,"7,072",9,"5,801",7,45.1%,,,
67,Hai An Transport,"12,765",9,"12,765",9,,,,"6,012",2,47.1%
68,Bengal Tiger Line,"12,713",7,,,"12,713",7,100%,,,
69,Cool Carriers,"12,587",36,"3,424",12,"9,163",24,72.8%,,,
70,Independent Container Line,"12,398",4,"6,182",2,"6,216",2,50.1%,,,
71,Eimskip,"12,244",14,"5,174",7,"7,070",7,57.7%,"4,560",2,37.2%
72,HR Lines,"11,932",8,"11,932",8,,,,,,
73,OVP Shipping,"11,835",7,"1,562",1,"10,273",6,86.8%,"8,700",2,73.5%
74,Qatar Navigation (Milaha),"10,939",7,"8,615",5,"2,324",2,21.2%,,,
75,M-Line,"10,834",5,,,"10,834",5,100%,,,
76,Philippine Span Asia Carrier Corp.,"10,819",18,"9,602",16,"1,217",2,11.2%,800,2,7.4%
77,Samskip,"10,716",20,"4,182",7,"6,534",13,61%,"1,460",2,13.6%
78,Sea Express Shipping Lines,"10,611",8,"2,668",2,"7,943",6,74.9%,,,
79,Neptune Pacific Direct Line,"10,418",10,"9,800",9,618,1,5.9%,,,
80,Folk Maritime,"10,232",7,"7,567",5,"2,665",2,26%,,,
81,Borchard Lines,"10,161",11,,,"10,161",11,100%,,,
82,Safetrans Shipping,"9,877",4,,,"9,877",4,100%,,,
83,Dalian Jifa Bohai Rim Container L.,"9,802",14,"3,140",4,"6,662",10,68%,,,
84,King Ocean,"9,713",14,,,"9,713",14,100%,,,
85,Imoto Lines,"9,295",31,"7,423",24,"1,872",7,20.1%,200,1,2.2%
86,Dalian Trawind Marine Co,"9,272",2,"9,272",2,,,,,,
87,EAS Datong,"8,729",7,"7,415",5,"1,314",2,15.1%,,,
88,Pan Continental Shg,"8,686",8,"6,856",6,"1,830",2,21.1%,,,
89,Transit LLC,"8,342",8,"6,842",7,"1,500",1,18%,,,
90,Harbour-Link Group Bhd,"8,340",11,"8,340",11,,,,,,
91,Sidra Line,"8,049",8,,,"8,049",8,100%,,,
92,Del Monte Fresh Produce Co,"7,996",8,"7,996",8,,,,,,
93,Oceanic Cargo Lines,"7,886",16,"7,886",16,,,,,,
94,Tarros,"7,742",6,,,"7,742",6,100%,,,
95,CStar Line,"7,525",5,,,"7,525",5,100%,,,
96,Vistar Shipping LLC,"7,432",4,"7,432",4,,,,,,
97,STF Shipping,"7,356",4,,,"7,356",4,100%,,,
98,Guangxi Hongxiang Shipping Co,"7,249",14,"7,249",14,,,,,,
99,Marsa Ocean Shipping,"7,113",5,"7,113",5,,,,,,
100,GS Lines,"7,104",8,"6,730",7,374,1,5.3%,,,
